date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:25	65/65	---M--	200	added ('OK')	text/plain	etag:%2260aac23d-41%22	https://pube.finance/robots.txt		(from )
19:12:28	134009/134009	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2017:12:27%20GMT	https://pube.finance/	D:/Crypto/Mes%20sites/PUBE/pube.finance/index.html	(from )
19:12:28	93495/93495	---MCZ	200	added ('OK')	text/css	etag:W/%2260aac23e-16d37%22	https://pube.finance/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.5.5	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikita25a.css	(from https://pube.finance/)
19:12:28	25950/25950	---MCZ	200	added ('OK')	text/css	etag:W/%2260aac23e-655e%22	https://pube.finance/wp-content/plugins/bdthemes-element-pack/assets/css/element-pack-site.css?ver=5.8.0	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/bdthemes-element-pack/assets/css/element-pack-site3e35.css	(from https://pube.finance/)
19:12:28	10912/10912	---M-Z	200	added ('OK')	application/rss+xml	etag:%22531ccdd61805c3218c83b7ff5dc5a197-gzip%22	https://pube.finance/feed/	D:/Crypto/Mes%20sites/PUBE/pube.finance/feed/index.html	(from https://pube.finance/)
19:12:28	58171/58171	---MCZ	200	added ('OK')	text/css	etag:W/%2260aac240-e33b%22	https://pube.finance/wp-includes/css/dist/block-library/style.min.css?ver=5.7.1	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-includes/css/dist/block-library/style.mina78f.css	(from https://pube.finance/)
19:12:29	72229/72229	---MCZ	200	added ('OK')	text/css	etag:W/%2260aac23f-11a25%22	https://pube.finance/wp-content/plugins/popup-builder/public/css/theme.css?ver=3.84	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/popup-builder/public/css/themea54c.css	(from https://pube.finance/)
19:12:29	12885/12885	---MCZ	200	added ('OK')	text/css	etag:W/%2260bd1301-3255%22	https://pube.finance/wp-content/uploads/essential-addons-elementor/cb70d11b8.min.css?ver=1623258745	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/uploads/essential-addons-elementor/cb70d11b8.mind3c6.css	(from https://pube.finance/)
19:12:29	1637/1637	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d0ee0e548c260339e1dc505f6db52073-gzip%22	https://pube.finance/comments/feed/	D:/Crypto/Mes%20sites/PUBE/pube.finance/comments/feed/index.html	(from https://pube.finance/)
19:12:29	17232/17232	---MCZ	200	added ('OK')	text/css	etag:W/%2260aac23e-4350%22	https://pube.finance/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.11.0	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min21f9.css	(from https://pube.finance/)
19:12:29	699/699	---M--	200	added ('OK')	image/svg+xml	etag:%2260aac23f-2bb%22	https://pube.finance/wp-content/plugins/essential-addons-for-elementor-lite/assets/admin/images/templately/logo-icon.svg	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/essential-addons-for-elementor-lite/assets/admin/images/templately/logo-icon.svg	(from https://pube.finance/)
19:12:30	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%2260aac23e-4824%22	https://pube.finance/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.2.3	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/lib/animations/animations.mine5ca.css	(from https://pube.finance/)
19:12:30	117828/117828	---MCZ	200	added ('OK')	text/css	etag:W/%2260aac23e-1cc44%22	https://pube.finance/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.2.3	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/css/frontend.mine5ca.css	(from https://pube.finance/)
19:12:30	191420/191420	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222ebbc-5c305926c1285%22	https://pube.finance/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.10.0	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.eot	(from https://pube.finance/)
19:12:30	5732/5732	---MCZ	200	added ('OK')	text/css	etag:W/%2260aac89f-1664%22	https://pube.finance/wp-content/uploads/elementor/css/post-40.css?ver=1621805215	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/uploads/elementor/css/post-401a41.css	(from https://pube.finance/)
